Total Inactive Items: 288

SKU | Name | Status | Created At
BW-DOUBLELAYERBLACK-50CM-2 | Bubble Wrap Double Layer Black 50cm x 100m (2 units) | Obsolete | 2025-12-30T04:18:23.114964+00:00
BW-SV/GY | Bubble Wrap Single Layer Silver/Grey 1m x 100m | Obsolete | 2025-12-30T04:18:23.114964+00:00
BW20CM-1 | Bubble Wrap Single Layer Clear 20cm x 100m (1 unit) | Obsolete | 2025-12-30T04:18:23.114964+00:00
BW20CM-2 | Bubble Wrap Single Layer Clear 20cm x 100m (2 units) | Obsolete | 2025-12-30T04:18:23.114964+00:00
BW20CM-3 | Bubble Wrap Single Layer Clear 20cm x 100m (3 units) | Obsolete | 2025-12-30T04:18:23.114964+00:00
BW20CM-4 | Bubble Wrap Single Layer Clear 20cm x 100m (4 units) | Obsolete | 2025-12-30T04:18:23.114964+00:00
BW20CM-5 | Bubble Wrap Single Layer Clear 20cm x 100m (5 units) | Obsolete | 2025-12-30T04:18:23.114964+00:00
BW20CM-BLACK-1 | Bubble Wrap Single Layer Black 20cm x 100m (1 unit) | Obsolete | 2025-12-30T04:18:23.114964+00:00
BW20CM-BLACK-2 | Bubble Wrap Single Layer Black 20cm x 100m (2 unit) | Obsolete | 2025-12-30T04:18:23.114964+00:00
BW20CM-BLACK-3 | Bubble Wrap Single Layer Black 20cm x 100m (3 unit) | Obsolete | 2025-12-30T04:18:23.114964+00:00
BW20CM-BLACK-4 | Bubble Wrap Single Layer Black 20cm x 100m (4 unit) | Obsolete | 2025-12-30T04:18:23.114964+00:00
BW20CM-BLACK-5 | Bubble Wrap Single Layer Black 20cm x 100m (5 unit) | Obsolete | 2025-12-30T04:18:23.114964+00:00
BW20CM-DOUBLELAYER-1 | Bubble Wrap Double Layer Clear 20cm x 100m (1 unit) | Obsolete | 2025-12-30T04:18:23.114964+00:00
BW20CM-DOUBLELAYER-2 | Bubble Wrap Double Layer Clear 20cm x 100m (2 unit) | Obsolete | 2025-12-30T04:18:23.114964+00:00
BW20CM-DOUBLELAYER-3 | Bubble Wrap Double Layer Clear 20cm x 100m (3 unit) | Obsolete | 2025-12-30T04:18:23.114964+00:00
BW20CM-DOUBLELAYER-4 | Bubble Wrap Double Layer Clear 20cm x 100m (4 unit) | Obsolete | 2025-12-30T04:18:23.114964+00:00
BW20CM-DOUBLELAYER-5 | Bubble Wrap Double Layer Clear 20cm x 100m (5 unit) | Obsolete | 2025-12-30T04:18:23.114964+00:00
BW20CM-DOUBLELAYER-BLACK-1 | Bubble Wrap Double Layer Black 20cm (1 unit) | Obsolete | 2025-12-30T04:18:23.114964+00:00
BW20CM-DOUBLELAYER-BLACK-5 | Bubble Wrap Double Layer Black 20cm (5 unit) | Obsolete | 2025-12-30T04:18:23.114964+00:00
BW25CM-1 | Bubble Wrap Single Layer Clear 25cm x 100m (1 unit) | Obsolete | 2025-12-30T04:18:23.114964+00:00
BW25CM-2 | Bubble Wrap Single Layer Clear 25cm x 100m (2 units) | Obsolete | 2025-12-30T04:18:23.114964+00:00
BW25CM-3 | Bubble Wrap Single Layer Clear 25cm x 100m (3 units) | Obsolete | 2025-12-30T04:18:23.114964+00:00
BW25CM-4 | Bubble Wrap Single Layer Clear 25cm x 100m (4 units) | Obsolete | 2025-12-30T04:18:23.114964+00:00
BW25CM-BLACK-1 | Bubble Wrap Single Layer Black 25cm x 100m (1 unit) | Obsolete | 2025-12-30T04:18:23.114964+00:00
BW25CM-BLACK-2 | Bubble Wrap Single Layer Black 25cm x 100m (2 units) | Obsolete | 2025-12-30T04:18:23.114964+00:00
BW25CM-BLACK-3 | Bubble Wrap Single Layer Black 25cm x 100m (3 units) | Obsolete | 2025-12-30T04:18:23.114964+00:00
BW25CM-BLACK-4 | Bubble Wrap Single Layer Black 25cm x 100m (4 units) | Obsolete | 2025-12-30T04:18:23.114964+00:00
BW25CM-BLACK-DOUBLELAYER-1 | Bubble Wrap Double Layer Black 25cm x 100m (1 unit) | Obsolete | 2025-12-30T04:18:23.114964+00:00
BW25CM-BLACK-DOUBLELAYER-2 | Bubble Wrap Double Layer Black 25cm x 100m (2 units) | Obsolete | 2025-12-30T04:18:23.114964+00:00
BW25CM-BLACK-DOUBLELAYER-3 | Bubble Wrap Double Layer Black 25cm x 100m (3 units) | Obsolete | 2025-12-30T04:18:23.114964+00:00
BW25CM-BLACK-DOUBLELAYER-4 | Bubble Wrap Double Layer Black 25cm x 100m (4 units) | Obsolete | 2025-12-30T04:18:23.114964+00:00
BW25CM-DOUBLELAYER-1 | Bubble Wrap Double Layer Clear 25cm x 100m (1 unit) | Obsolete | 2025-12-30T04:18:23.114964+00:00
BW25CM-DOUBLELAYER-2 | Bubble Wrap Double Layer Clear 25cm x 100m (2 units) | Obsolete | 2025-12-30T04:18:23.114964+00:00
BW25CM-DOUBLELAYER-3 | Bubble Wrap Double Layer Clear 25cm x 100m (3 units) | Obsolete | 2025-12-30T04:18:23.114964+00:00
BW25CM-DOUBLELAYER-4 | Bubble Wrap Double Layer Clear 25cm x 100m (4 units) | Obsolete | 2025-12-30T04:18:23.114964+00:00
BW33CM-1 | Bubble Wrap Single Layer Clear 33cm x 100m (1 unit) | Obsolete | 2025-12-30T04:18:23.114964+00:00
BW33CM-2 | Bubble Wrap Single Layer Clear 33cm x 100m (2 units) | Obsolete | 2025-12-30T04:18:23.114964+00:00
BW33CM-3 | Bubble Wrap Single Layer Clear 33cm x 100m (3 units) | Obsolete | 2025-12-30T04:18:23.114964+00:00
BW33CM-BLACK-1 | Bubble Wrap Single Layer Black 33cm x 100m (1 unit) | Obsolete | 2025-12-30T04:18:23.114964+00:00
BW33CM-BLACK-2 | Bubble Wrap Single Layer Black 33cm x 100m (2 units) | Obsolete | 2025-12-30T04:18:23.114964+00:00
BW33CM-BLACK-3 | Bubble Wrap Single Layer Black 33cm x 100m (3 units) | Obsolete | 2025-12-30T04:18:23.114964+00:00
BW33CM-DOUBLELAYER-1 | Bubble Wrap Double Layer Clear 33cm x 100m (1 unit) | Obsolete | 2025-12-30T04:18:23.114964+00:00
BW33CM-DOUBLELAYER-2 | Bubble Wrap Double Layer Clear 33cm x 100m (2 units) | Obsolete | 2025-12-30T04:18:23.114964+00:00
BW33CM-DOUBLELAYER-3 | Bubble Wrap Double Layer Clear 33cm x 100m (3 units) | Obsolete | 2025-12-30T04:18:23.114964+00:00
BW33CM-DOUBLELAYER-BLACK-1 | Bubble Wrap Double Layer Black 33cm x 100m (1 unit) | Obsolete | 2025-12-30T04:18:23.114964+00:00
BW33CM-DOUBLELAYER-BLACK-2 | Bubble Wrap Double Layer Black 33cm x 100m (2 units) | Obsolete | 2025-12-30T04:18:23.114964+00:00
BW33CM-DOUBLELAYER-BLACK-3 | Bubble Wrap Double Layer Black 33cm x 100m (3 units) | Obsolete | 2025-12-30T04:18:23.114964+00:00
CKP-BROWNTAPE-160M | Cukupp Brown Tape 48MM X 180 YARD | Obsolete | 2025-12-30T04:18:23.114964+00:00
CKP-BROWNTAPE-80M | Cukupp Brown Tape 48MM X 90 YARD | Obsolete | 2025-12-30T04:18:23.114964+00:00
CKP-FRAGILETAPE-160M | Cukupp Fragile Tape 48MM X 180 YARD | Obsolete | 2025-12-30T04:18:23.114964+00:00
CKP-FRAGILETAPE-80M | Cukupp Fragile Tape 48MM X 90 YARD | Obsolete | 2025-12-30T04:18:23.114964+00:00
CKP-TAPECLEAR-160M | Cukupp Clear Tape 48MM X 180 YARD | Obsolete | 2025-12-30T04:18:23.114964+00:00
CKP-TAPECLEAR-80M | Cukupp Clear Tape 48MM X 90 YARD | Obsolete | 2025-12-30T04:18:23.114964+00:00
CKP-TAPECLEAR-ROLL | Cukupp Clear Tape 48MM X 90 YARD - ROLL | Obsolete | 2025-12-30T04:18:23.114964+00:00
CLEAR | Clear Film (Generic) | Obsolete | 2026-01-30T05:51:51.716781+00:00
CUKUPP-B25-20PCTN | CUKUPP COURIER BAG 25 X 35 ( BLACK ) 20 ROLLS PER CARTON | Obsolete | 2025-12-30T04:18:23.114964+00:00
CUKUPP-B28-16PCTN | CUKUPP COURIER BAG 28 X 42 ( BLACK ) 16 ROLLS PER CARTON | Obsolete | 2025-12-30T04:18:23.114964+00:00
CUKUPP-B32-10PCTN | CUKUPP COURIER BAG 32 X 45 ( BLACK ) 10 ROLLS PER CARTON | Obsolete | 2025-12-30T04:18:23.114964+00:00
CUKUPP-B38-8PCTN | CUKUPP COURIER BAG 38 X 52 ( BLACK ) 8 ROLLS PER CARTON | Obsolete | 2025-12-30T04:18:23.114964+00:00
CUKUPP-B45-6PCTN | CUKUPP COURIER BAG 45 X 60 ( BLACK ) 6 ROLLS PER CARTON | Obsolete | 2025-12-30T04:18:23.114964+00:00
CUKUPP-B50-6PCTN | CUKUPP COURIER BAG 50 X 65 ( BLACK ) 6 ROLLS PER CARTON | Obsolete | 2025-12-30T04:18:23.114964+00:00
CUKUPP-B60-4PCTN | CUKUPP COURIER BAG 60 X 80 ( BLACK ) 4 ROLLS PER CARTON | Obsolete | 2025-12-30T04:18:23.114964+00:00
CUKUPP-GREEN17-40PCTN | CUKUPP COURIER BAG 17 X 30 ( GREEN ) 40 ROLLS PER CARTON | Obsolete | 2025-12-30T04:18:23.114964+00:00
CUKUPP-GREEN20-30PCTN | CUKUPP COURIER BAG 20 X 35 ( GREEN ) 30 ROLLS PER CARTON | Obsolete | 2025-12-30T04:18:23.114964+00:00
CUKUPP-GREEN25-20PCTN | CUKUPP COURIER BAG 25 X 35 ( GREEN ) 20 ROLLS PER CARTON | Obsolete | 2025-12-30T04:18:23.114964+00:00
CUKUPP-GREEN35-10PCTN | CUKUPP COURIER BAG 35 X 45 ( GREEN ) 10 ROLLS PER CARTON | Obsolete | 2025-12-30T04:18:23.114964+00:00
CUKUPP-GREEN40-8PCTN | CUKUPP COURIER BAG 40 X 55 ( GREEN ) 8 ROLLS PER CARTON | Obsolete | 2025-12-30T04:18:23.114964+00:00
CUKUPP-PINK17-40PCTN | CUKUPP COURIER BAG 17 X 30 ( PINK ) 40 ROLLS PER CARTON | Obsolete | 2025-12-30T04:18:23.114964+00:00
CUKUPP-PINK25-20PCTN | CUKUPP COURIER BAG 25 X 35 ( PINK ) 20 ROLLS PER CARTON | Obsolete | 2025-12-30T04:18:23.114964+00:00
CUKUPP-PINK32-10PCTN | CUKUPP COURIER BAG 32 X 45 ( PINK ) 10 ROLLS PER CARTON | Obsolete | 2025-12-30T04:18:23.114964+00:00
CUKUPP-PINK40-8PCTN | CUKUPP COURIER BAG 40 X 55 ( PINK ) 8 ROLLS PER CARTON | Obsolete | 2025-12-30T04:18:23.114964+00:00
CUKUPP-PUR17-40PCTN | CUKUPP COURIER BAG 17 X 30 ( PURPLE ) 40 ROLLS PER CARTON | Obsolete | 2025-12-30T04:18:23.114964+00:00
CUKUPP-PUR20-30PCTN | CUKUPP COURIER BAG 20 X 35 ( PURPLE ) 30 ROLLS PER CARTON | Obsolete | 2025-12-30T04:18:23.114964+00:00
CUKUPP-PUR25-20PCTN | CUKUPP COURIER BAG 25 X 35 ( PURPLE ) 20 ROLLS PER CARTON | Obsolete | 2025-12-30T04:18:23.114964+00:00
CUKUPP-PUR35-10PCTN | CUKUPP COURIER BAG 35 X 45 ( PURPLE ) 10 ROLLS PER CARTON | Obsolete | 2025-12-30T04:18:23.114964+00:00
CUKUPP-PUR38-8PCTN | CUKUPP COURIER BAG 38 X 52 ( PURPLE ) 8 ROLLS PER CARTON | Obsolete | 2025-12-30T04:18:23.114964+00:00
CUKUPP-PUR40-8PCTN | CUKUPP COURIER BAG 40 X 55 ( PURPLE ) 8 ROLLS PER CARTON | Obsolete | 2025-12-30T04:18:23.114964+00:00
CUKUPP-W25-20PCTN | CUKUPP COURIER BAG 25 X 35 ( MATTE WHITE ) 20 ROLLS PER CARTON | Obsolete | 2025-12-30T04:18:23.114964+00:00
CUKUPP-W28-16PCTN | CUKUPP COURIER BAG 28 X 42 ( MATTE WHITE ) 16 ROLLS PER CARTON | Obsolete | 2025-12-30T04:18:23.114964+00:00
CUKUPP-W32-10PCTN | CUKUPP COURIER BAG 32 X 45 ( MATTE WHITE ) 10 ROLLS PER CARTON | Obsolete | 2025-12-30T04:18:23.114964+00:00
CUKUPP-W35-10PCTN | CUKUPP COURIER BAG 35 X 45 ( MATTE WHITE ) 10 ROLLS PER CARTON | Obsolete | 2025-12-30T04:18:23.114964+00:00
CUKUPP-W38-8PCTN | CUKUPP COURIER BAG 38 X 52 ( MATTE WHITE ) 8 ROLLS PER CARTON | Obsolete | 2025-12-30T04:18:23.114964+00:00
CUKUPP-W45-6PCTN | CUKUPP COURIER BAG 45 X 60 ( MATTE WHITE ) 6 ROLLS PER CARTON | Obsolete | 2025-12-30T04:18:23.114964+00:00
CUKUPP-W50-6PCTN | CUKUPP COURIER BAG 50 X 65 ( MATTE WHITE ) 6 ROLLS PER CARTON | Obsolete | 2025-12-30T04:18:23.114964+00:00
CUKUPP-W60-4PCTN | CUKUPP COURIER BAG 60 X 80 ( MATTE WHITE ) 4 ROLLS PER CARTON | Obsolete | 2025-12-30T04:18:23.114964+00:00
EXXON ENABLE ( BARU ) | EXXON ENABLE ( BARU ) | Obsolete | 2025-12-30T04:18:23.114964+00:00
FRAGILETAPE-45-BOX | FRAGILE TAPE 45MM X 45MICRON X 180YARD (ROLL) | Obsolete | 2025-12-30T04:18:23.114964+00:00
FRAGILETAPE-45X45X180 | FRAGILE TAPE 45MM X 45MICRON X 180YARD (ROLL) | Obsolete | 2025-12-30T04:18:23.114964+00:00
GREEN-17 | Courier Bag Green,17X30CM | Obsolete | 2025-12-30T04:18:23.114964+00:00
GREEN-20 | Courier Bag Green,20X30CM | Obsolete | 2025-12-30T04:18:23.114964+00:00
GREEN-25 | Courier Bag Green,25X35CM | Obsolete | 2025-12-30T04:18:23.114964+00:00
GREEN-28 | Courier Bag Green,28X42CM | Obsolete | 2025-12-30T04:18:23.114964+00:00
GREEN-32 | Courier Bag Green,32X45CM | Obsolete | 2025-12-30T04:18:23.114964+00:00
GREEN-35 | Courier Bag Green,35X45CM | Obsolete | 2025-12-30T04:18:23.114964+00:00
GREEN-38 | Courier Bag Green,38X52CM | Obsolete | 2025-12-30T04:18:23.114964+00:00
HD LYONDELL BASE | HD LYONDELL BASE | Obsolete | 2025-12-30T04:18:23.114964+00:00
HD TITAN | HD TITAN | Obsolete | 2025-12-30T04:18:23.114964+00:00
KOTAK-BABY-ROLL | KOTAK BABY ROLL | Obsolete | 2025-12-30T04:18:23.114964+00:00
KOTAK-BIASA | KOTAK BIASA | Obsolete | 2025-12-30T04:18:23.114964+00:00
KOTAK-BIRU | KOTAK BIRU | Obsolete | 2025-12-30T04:18:23.114964+00:00
KOTAK-PACK-SECURE-2ROLL | KOTAK PACK SECURE (2 roll) | Obsolete | 2025-12-30T04:18:23.114964+00:00
KOTAK-PACKSECURE | KOTAK PACKSECURE | Obsolete | 2025-12-30T04:18:23.114964+00:00
L-BLUE | Courier Bag Tiffany Blue,L (32x49cm) | Obsolete | 2025-12-30T04:18:23.114964+00:00
L-BOSSKU-GREEN | Courier Bag Green(BOSSKU),L (32x49cm) | Obsolete | 2025-12-30T04:18:23.114964+00:00
L-BOSSKU-YELLOW | Courier Bag Yellow(BOSSKU),L (32x49cm) | Obsolete | 2025-12-30T04:18:23.114964+00:00
L-BROWN | Courier Bag Choco Brown,L (32x49cm) | Obsolete | 2025-12-30T04:18:23.114964+00:00
L-ENVELOPE | L size Envelope (26*32+4cm) | Obsolete | 2025-12-30T04:18:23.114964+00:00
L-PINK | Courier Bag Pink,L (32x49cm) | Obsolete | 2025-12-30T04:18:23.114964+00:00
L-PUR | Courier Bag Purple,L (32x49cm) | Obsolete | 2025-12-30T04:18:23.114964+00:00
L-R | Courier Bag Red,L (32x49cm) | Obsolete | 2025-12-30T04:18:23.114964+00:00
L-Y | Courier Bag Yellow,L (32x49cm) | Obsolete | 2025-12-30T04:18:23.114964+00:00
LD PETRONAS N125Y | LD PETRONAS N125Y | Obsolete | 2025-12-30T04:18:23.114964+00:00
LL BARU GA1820 | LL BARU GA1820 | Obsolete | 2025-12-30T04:18:23.114964+00:00
LL OREN 1002AY | LL OREN 1002AY | Obsolete | 2025-12-30T04:18:23.114964+00:00
LLZBB | LLZBB | Obsolete | 2025-12-30T04:18:23.114964+00:00
M-BLUE | Courier Bag Tiffany Blue,M (26x37cm) | Obsolete | 2025-12-30T04:18:23.114964+00:00
M-BOSSKU-GREEN | Courier Bag Green(BOSSKU),M (26x37cm) | Obsolete | 2025-12-30T04:18:23.114964+00:00
M-BOSSKU-YELLOW | Courier Bag Yellow(BOSSKU),M (26x37cm) | Obsolete | 2025-12-30T04:18:23.114964+00:00
M-BROWN | Courier Bag Choco Brown,M (26x37cm) | Obsolete | 2025-12-30T04:18:23.114964+00:00
M-ENVELOPE | M size Envelope (22*28+4cm) | Obsolete | 2025-12-30T04:18:23.114964+00:00
M-PINK | Courier Bag Pink,M (26x37cm) | Obsolete | 2025-12-30T04:18:23.114964+00:00
M-PUR | Courier Bag Purple,M (26x37cm) | Obsolete | 2025-12-30T04:18:23.114964+00:00
M-R | Courier Bag Red,M (26x37cm) | Obsolete | 2025-12-30T04:18:23.114964+00:00
M-Y | Courier Bag Yellow,M (26x37cm) | Obsolete | 2025-12-30T04:18:23.114964+00:00
MASTERBATCH 8092 | MASTERBATCH 8092 | Obsolete | 2025-12-30T04:18:23.114964+00:00
MB BARU LAB5 250822.100 | MB BARU LAB5 250822.100 | Obsolete | 2025-12-30T04:18:23.114964+00:00
MINT-17 | Courier Bag Mint,17X30CM | Obsolete | 2025-12-30T04:18:23.114964+00:00
MINT-20 | Courier Bag Mint,20X30CM | Obsolete | 2025-12-30T04:18:23.114964+00:00
MINT-25 | Courier Bag Mint,25X35CM | Obsolete | 2025-12-30T04:18:23.114964+00:00
MINT-28 | Courier Bag Mint,28X42CM | Obsolete | 2025-12-30T04:18:23.114964+00:00
MINT-32 | Courier Bag Mint,32X45CM | Obsolete | 2025-12-30T04:18:23.114964+00:00
MINT-38 | Courier Bag Mint,38X52CM | Obsolete | 2025-12-30T04:18:23.114964+00:00
O-L-P | Courier Bag Orange (With Pocket),L (32cmx49cm) | Obsolete | 2025-12-30T04:18:23.114964+00:00
O-M-P | Courier Bag Orange (With Pocket),M (26cmx37cm) | Obsolete | 2025-12-30T04:18:23.114964+00:00
O-S-P | Courier Bag Orange (With Pocket),S (18cmx30cm) | Obsolete | 2025-12-30T04:18:23.114964+00:00
O-XL-P | Courier Bag Orange (With Pocket),XL (40cmx56cm) | Obsolete | 2025-12-30T04:18:23.114964+00:00
OPPTAPE-C-48-BOX | OPP TAPE 48MM X 45MICRON X 180YARD (CLEAR) | Obsolete | 2025-12-30T04:18:23.114964+00:00
OPPTAPE-C-48X45X180 | OPP TAPE 48MM X 45MICRON X 180YARD (CLEAR) | Obsolete | 2025-12-30T04:18:23.114964+00:00
PAPER-ROLL | PAPER ROLL | Obsolete | 2025-12-30T04:18:23.114964+00:00
PAPER-ROLL-BABY | PAPER ROLL (BABY ROLL) | Obsolete | 2025-12-30T04:18:23.114964+00:00
PINK-17 | Courier Bag Pink,17X30CM | Obsolete | 2025-12-30T04:18:23.114964+00:00
PINK-20 | Courier Bag Pink,20X30CM | Obsolete | 2025-12-30T04:18:23.114964+00:00
PINK-25 | Courier Bag Pink,25X35CM | Obsolete | 2025-12-30T04:18:23.114964+00:00
PINK-28 | Courier Bag Pink,28X42CM | Obsolete | 2025-12-30T04:18:23.114964+00:00
PINK-32 | Courier Bag Pink,32X45CM | Obsolete | 2025-12-30T04:18:23.114964+00:00
PINK-35 | Courier Bag Pink,35X45CM | Obsolete | 2025-12-30T04:18:23.114964+00:00
PINK-38 | Courier Bag Pink,38X52CM | Obsolete | 2025-12-30T04:18:23.114964+00:00
PLASTIC-BAG-BIRU | PLASTIC BAG BIRU | Obsolete | 2025-12-30T04:18:23.114964+00:00
